"","number","contractName","name","address","banking","bonus","status","lastUpdate","connected","overflow","shape","position.latitude","position.longitude","totalStands.capacity","totalStands.availabilities.bikes","totalStands.availabilities.stands","totalStands.availabilities.mechanicalBikes","totalStands.availabilities.electricalBikes","totalStands.availabilities.electricalInternalBatteryBikes","totalStands.availabilities.electricalRemovableBatteryBikes","mainStands.capacity","mainStands.availabilities.bikes","mainStands.availabilities.stands","mainStands.availabilities.mechanicalBikes","mainStands.availabilities.electricalBikes","mainStands.availabilities.electricalInternalBatteryBikes","mainStands.availabilities.electricalRemovableBatteryBikes","overflowStands.capacity","overflowStands.availabilities.bikes","overflowStands.availabilities.stands","overflowStands.availabilities.mechanicalBikes","overflowStands.availabilities.electricalBikes","overflowStands.availabilities.electricalInternalBatteryBikes","overflowStands.availabilities.electricalRemovableBatteryBikes","region"
"1",2010,"lyon","2010 - CONFLUENCE / DARSE","ANGLE ALLEE ANDRE MURE ET QUAI ANTOINE RIBOUD",TRUE,FALSE,"OPEN","2023-10-06T11:49:53Z",TRUE,FALSE,NA,45.743317,4.815747,22,0,20,0,2,0,2,22,0,20,0,2,0,2,NA,NA,NA,NA,NA,NA,NA," 69002"
"2",5015,"lyon","5015 - FULCHIRON","Devant le n°41 rue de la Quarantaine",TRUE,FALSE,"OPEN","2023-10-06T11:49:47Z",TRUE,FALSE,NA,45.75197,4.821662,19,8,10,7,2,0,2,19,8,10,7,2,0,2,NA,NA,NA,NA,NA,NA,NA," 69005"
"3",32001,"lyon","32001 - COUZON - CENTRE","",TRUE,FALSE,"OPEN","2023-10-06T11:41:41Z",TRUE,FALSE,NA,45.846034,4.832409,17,6,11,3,3,0,3,17,6,11,3,3,0,3,NA,NA,NA,NA,NA,NA,NA," 69270"
"4",6004,"lyon","6004 - FOCH","Angle rue Vendôme",TRUE,FALSE,"OPEN","2023-10-06T11:49:52Z",TRUE,FALSE,NA,45.768896,4.844845,20,1,19,1,0,0,0,20,1,19,1,0,0,0,NA,NA,NA,NA,NA,NA,NA," 69006"
"5",7035,"lyon","7035 - MARSEILLE / UNIVERSITÉ","Angle rue de Marseille",TRUE,FALSE,"OPEN","2023-10-06T11:49:57Z",TRUE,FALSE,NA,45.750945,4.83927,40,22,18,6,16,0,16,40,22,18,6,16,0,16,NA,NA,NA,NA,NA,NA,NA," 69007"
"6",10120,"lyon","10120 - SALENGRO / DESCARTES","41 AV. ROGER SALENGRO (VILLEURBANNE)",TRUE,FALSE,"OPEN","2023-10-06T11:49:43Z",TRUE,FALSE,NA,45.776239,4.871634,15,12,3,2,10,0,10,15,12,3,2,10,0,10,NA,NA,NA,NA,NA,NA,NA," 69100"
"7",5016,"lyon","5016 - POINT DU JOUR / GRANGES","Devant la mairie du 5°",FALSE,TRUE,"OPEN","2023-10-06T11:43:31Z",TRUE,FALSE,NA,45.756204,4.802727,13,6,7,6,0,0,0,13,6,7,6,0,0,0,NA,NA,NA,NA,NA,NA,NA," 69005"
"8",9013,"lyon","9013 - QUAI PAUL SÉDALLIAN","Angle rue de la Navigation",FALSE,FALSE,"OPEN","2023-10-06T11:47:46Z",TRUE,FALSE,NA,45.787522,4.814418,20,14,6,7,7,0,7,20,14,6,7,7,0,7,NA,NA,NA,NA,NA,NA,NA," 69009"
"9",10028,"lyon","10028 - ECOLE DE MUSIQUE","Cours de la République/Angle Anatole France",TRUE,FALSE,"OPEN","2023-10-06T11:47:09Z",TRUE,FALSE,NA,45.767467,4.874032,24,9,15,2,7,0,7,24,9,15,2,7,0,7,NA,NA,NA,NA,NA,NA,NA,"69003"
"10",6041,"lyon","6041 - CITÉ INTERNATIONALE / TÊTE D'OR NORD","50 QUAI ACHILLE LIGNON",FALSE,FALSE,"OPEN","2023-10-06T11:43:55Z",TRUE,FALSE,NA,45.78458,4.859664,22,1,21,0,1,0,1,22,1,21,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,"69005"
"11",10011,"lyon","10011 - GRATTE-CIEL","174 COURS EMILE ZOLA",TRUE,FALSE,"OPEN","2023-10-06T11:48:29Z",TRUE,FALSE,NA,45.769226,4.880491,16,0,14,0,1,0,1,16,0,14,0,1,0,1,NA,NA,NA,NA,NA,NA,NA," 69100"
"12",15002,"lyon","15002 - ST PRIEST - CITE BERLIET","",FALSE,FALSE,"OPEN","2023-10-06T11:47:06Z",TRUE,FALSE,NA,45.70597,4.900886,20,3,17,2,1,0,1,20,3,17,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,"69100"
"13",10005,"lyon","10005 - 11 NOVEMBRE","Face Entrée du Parc de la Tête d'Or**",FALSE,FALSE,"OPEN","2023-10-06T11:46:30Z",TRUE,FALSE,NA,45.779702,4.860029,35,24,11,15,9,0,9,35,24,11,15,9,0,9,NA,NA,NA,NA,NA,NA,NA," 69100"
"14",4012,"lyon","4012 - PLACE ADRIEN GODIEN","Angle montée de la Boucle",TRUE,FALSE,"OPEN","2023-10-06T11:48:47Z",TRUE,FALSE,NA,45.778767,4.841109,30,2,28,2,0,0,0,30,2,28,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,"69009"
"15",11004,"lyon","11004 - CALUIRE - BRANLY / PASTEUR","",FALSE,FALSE,"OPEN","2023-10-06T11:44:34Z",TRUE,FALSE,NA,45.79169,4.843452,15,6,9,5,1,0,1,15,6,9,5,1,0,1,NA,NA,NA,NA,NA,NA,NA,"69003"
